material1,material2,material3,pred_temp,weights
Al3+,Sr2+,Fr1+,[44.67339814],[0.25 0.25 0.5 ]
Al3+,Sc3+,Fr1+,[44.01700867],[0.25 0.25 0.5 ]
Ag1+,Te2+,Cs1+,[37.28554915],[0.25 0.25 0.5 ]
Be2+,Rb1+,Cs1+,[37.19875166],[0.25 0.25 0.5 ]
Be2+,Mg2+,Cs1+,[37.110846],[0.25 0.25 0.5 ]
Be2+,Ca2+,Cs1+,[36.92265272],[0.25 0.25 0.5 ]
Be2+,Ca2+,Fr1+,[36.38133229],[0.25 0.25 0.5 ]
Ag1+,Sb3+,Cs1+,[36.1770089],[0.25 0.25 0.5 ]
Al3+,Ba2+,Fr1+,[36.17044073],[0.25 0.25 0.5 ]
Be2+,Cs1+,Fr1+,[35.4247382],[0.25 0.25 0.5 ]
Be2+,Mg2+,Fr1+,[35.3163164],[0.25 0.25 0.5 ]
Be2+,Ba2+,Fr1+,[35.24985528],[0.25 0.25 0.5 ]
Be2+,Sc3+,Fr1+,[34.77137608],[0.25 0.25 0.5 ]
Ca2+,Cs1+,Fr1+,[34.74854278],[0.25 0.25 0.5 ]
Be2+,Sr2+,Fr1+,[34.67330826],[0.25 0.25 0.5 ]
Be2+,Rb1+,Fr1+,[34.64243044],[0.25 0.25 0.5 ]
Mg2+,Cs1+,Fr1+,[34.34839338],[0.25 0.25 0.5 ]
Al3+,Cs1+,Fr1+,[33.95464889],[0.25 0.25 0.5 ]
Ca2+,Sr2+,Fr1+,[33.2581689],[0.25 0.25 0.5 ]
Be2+,Sr2+,Ba2+,[32.67271237],[0.25 0.25 0.5 ]
Al3+,Y3+,Fr1+,[32.33798859],[0.25 0.25 0.5 ]
Be2+,Al3+,Fr1+,[31.97055714],[0.25 0.25 0.5 ]
Be2+,Sr2+,Cs1+,[31.70410866],[0.25 0.25 0.5 ]
Mg2+,Sc3+,Fr1+,[31.59999707],[0.25 0.25 0.5 ]
Al3+,Ba2+,Ra2+,[31.43762937],[0.25 0.25 0.5 ]
Al3+,Rb1+,Fr1+,[31.39590256],[0.25 0.25 0.5 ]
Al3+,Ti4+,Fr1+,[31.14708622],[0.25 0.25 0.5 ]
Mg2+,Al3+,Fr1+,[30.63708462],[0.25 0.25 0.5 ]
Mg2+,Sr2+,Fr1+,[30.55053166],[0.25 0.25 0.5 ]
Be2+,Al3+,Cs1+,[30.33099689],[0.25 0.25 0.5 ]
Al3+,Ca2+,Fr1+,[30.17483459],[0.25 0.25 0.5 ]
Sc3+,Ag1+,Au3+,[30.12816046],[0.25 0.25 0.5 ]
Ag1+,Cs1+,Np5+,[30.04235268],[0.25 0.25 0.5 ]
Ag1+,Au3+,Ra2+,[29.90663417],[0.25 0.25 0.5 ]
Ag1+,Cs1+,Pu4+,[29.64554884],[0.25 0.25 0.5 ]
Ca2+,Ag1+,Bk3+,[29.55421685],[0.25 0.25 0.5 ]
Ti4+,Ag1+,Au3+,[29.42712836],[0.25 0.25 0.5 ]
Al3+,Y3+,Ra2+,[29.39320177],[0.25 0.25 0.5 ]
Mg2+,Ca2+,Fr1+,[29.31558659],[0.25 0.25 0.5 ]
Li1+,Ca2+,Hg1+,[29.30373159],[0.25 0.25 0.5 ]
Na1+,Ag1+,Bk3+,[29.20112395],[0.25 0.25 0.5 ]
Ag1+,Ho3+,Au3+,[29.183971],[0.25 0.25 0.5 ]
Ag1+,Ir3+,Ra2+,[28.91423535],[0.25 0.25 0.5 ]
Be2+,Al3+,Ba2+,[28.84062803],[0.25 0.25 0.5 ]
Ag1+,Cs1+,U6+,[28.74284621],[0.25 0.25 0.5 ]
Be2+,Ag1+,Hf4+,[28.71283581],[0.25 0.25 0.5 ]
Zr4+,Ag1+,Au3+,[28.6918944],[0.25 0.25 0.5 ]
Be2+,Cs1+,Po2+,[28.61903432],[0.25 0.25 0.5 ]
Be2+,Sc3+,Cs1+,[28.55154997],[0.25 0.25 0.5 ]
Be2+,Cs1+,Nd3+,[28.51855196],[0.25 0.25 0.5 ]
Ag1+,Tm3+,Au3+,[28.50771341],[0.25 0.25 0.5 ]
Be2+,Sc3+,Ba2+,[28.45301496],[0.25 0.25 0.5 ]
Ca2+,Rb1+,Hg1+,[28.43817202],[0.25 0.25 0.5 ]
Ti4+,Ag1+,W6+,[28.38312659],[0.25 0.25 0.5 ]
Li1+,Na1+,Hg1+,[28.37769584],[0.25 0.25 0.5 ]
Ag1+,Ba2+,Au3+,[28.21908585],[0.25 0.25 0.5 ]
