material1,material2,pred_temp,weights
Sc3+,Ag1+,[22.59590281],[0.5 0.5]
Li1+,Na1+,[19.78592463],[0.5 0.5]
Li1+,Mg2+,[19.12584485],[0.5 0.5]
Ag1+,Pu4+,[18.88545291],[0.5 0.5]
Ag1+,U6+,[18.43230883],[0.5 0.5]
Na1+,Mo6+,[18.12234688],[0.5 0.5]
Ti4+,Ag1+,[18.07329709],[0.5 0.5]
Li1+,Cr3+,[18.02202097],[0.5 0.5]
Mg2+,Cu2+,[17.90493507],[0.5 0.5]
Li1+,Be2+,[17.4840976],[0.5 0.5]
Be2+,Na1+,[17.03697177],[0.5 0.5]
Mg2+,Sn4+,[16.96630883],[0.5 0.5]
Ag1+,Np5+,[16.44283246],[0.5 0.5]
Mn4+,Ag1+,[14.7217776],[0.5 0.5]
Al3+,Nb5+,[13.94884612],[0.5 0.5]
Mo6+,Tc4+,[13.07322955],[0.5 0.5]
Ag1+,Ba2+,[12.29525473],[0.5 0.5]
Ag1+,Fr1+,[11.26340445],[0.5 0.5]
Zr4+,Nb5+,[9.78113367],[0.5 0.5]
Rb1+,Pd4+,[9.48094044],[0.5 0.5]
Cr3+,In3+,[9.315762],[0.5 0.5]
Rb1+,Mo6+,[9.25825132],[0.5 0.5]
Cr3+,Zr4+,[9.25373763],[0.5 0.5]
V5+,Zr4+,[9.01898532],[0.5 0.5]
Ti4+,Nb5+,[8.96041861],[0.5 0.5]
Nb5+,Tc4+,[8.87923655],[0.5 0.5]
Zr4+,Ag1+,[8.7558139],[0.5 0.5]
Rb1+,Tc4+,[8.74807466],[0.5 0.5]
V5+,In3+,[8.70993086],[0.5 0.5]
Y3+,Nb5+,[8.52313739],[0.5 0.5]
K1+,Pd4+,[8.52272826],[0.5 0.5]
Y3+,Ag1+,[8.46219834],[0.5 0.5]
Nb5+,Sn4+,[8.4241275],[0.5 0.5]
Ca2+,Mo6+,[8.40798066],[0.5 0.5]
K1+,Tc4+,[8.26448129],[0.5 0.5]
Pb4+,Bi3+,[8.18149212],[0.5 0.5]
K1+,Ru3+,[8.17335724],[0.5 0.5]
Sr2+,Mo6+,[8.08090492],[0.5 0.5]
Sc3+,Nb5+,[8.05693121],[0.5 0.5]
Be2+,Mg2+,[7.95470141],[0.5 0.5]
Mo6+,Ru3+,[7.93561739],[0.5 0.5]
V5+,Tc4+,[7.89415201],[0.5 0.5]
Rb1+,Ru3+,[7.86920276],[0.5 0.5]
Y3+,Mo6+,[7.83786262],[0.5 0.5]
Li1+,Hf4+,[7.81880788],[0.5 0.5]
Li1+,K1+,[7.80534023],[0.5 0.5]
Co3+,Mo6+,[7.77847514],[0.5 0.5]
Cr3+,Y3+,[7.77022369],[0.5 0.5]
Tc4+,Ru3+,[7.74499849],[0.5 0.5]
Li1+,Ta5+,[7.73409498],[0.5 0.5]
Mo6+,Re4+,[7.68097888],[0.5 0.5]
Mg2+,Cs1+,[7.63716909],[0.5 0.5]
Rb1+,Ag1+,[7.61664648],[0.5 0.5]
Nb5+,Hf4+,[7.6143343],[0.5 0.5]
K1+,Rh3+,[7.6090274],[0.5 0.5]
V5+,Ce4+,[7.57650898],[0.5 0.5]
Na1+,K1+,[7.53202112],[0.5 0.5]
Na1+,Ta5+,[7.52201291],[0.5 0.5]
Zr4+,Tc4+,[7.50828955],[0.5 0.5]
Na1+,W6+,[7.4668402],[0.5 0.5]
Na1+,W4+,[7.4668402],[0.5 0.5]
Li1+,Ca2+,[7.42896237],[0.5 0.5]
Rb1+,Rh3+,[7.37870026],[0.5 0.5]
Al3+,Mo6+,[7.36706917],[0.5 0.5]
Be2+,Cs1+,[7.36623997],[0.5 0.5]
Ti4+,In3+,[7.31228665],[0.5 0.5]
Mg2+,Fr1+,[7.21825673],[0.5 0.5]
V5+,La3+,[7.18665958],[0.5 0.5]
Sr2+,Tc4+,[7.16538654],[0.5 0.5]
Zr4+,Lu3+,[7.14528309],[0.5 0.5]
Ti4+,Sm3+,[7.12185985],[0.5 0.5]
Zn2+,In3+,[7.11511887],[0.5 0.5]
V5+,Nd3+,[7.09660403],[0.5 0.5]
Sr2+,Tm3+,[7.05970499],[0.5 0.5]
Na1+,Rh3+,[7.04655016],[0.5 0.5]
V5+,Pr3+,[7.04651432],[0.5 0.5]
Sr2+,Lu3+,[7.03969114],[0.5 0.5]
Li1+,Re4+,[7.02321708],[0.5 0.5]
V5+,Pm3+,[6.96326792],[0.5 0.5]
Na1+,Ac3+,[6.95382725],[0.5 0.5]
Na1+,Th4+,[6.94807179],[0.5 0.5]
Al3+,Rb1+,[6.92980408],[0.5 0.5]
