material1,material2,pred_temp,weights
C4+,O0.5-,[62.24535855],[0.11111111 0.88888889]
C4+,O0.333-,[61.41505043],[0.07685207 0.92314793]
N5+,O0.5-,[61.17977811],[0.09090909 0.90909091]
C2+,O0.333-,[61.05923951],[0.14273468 0.85726532]
Cu2+,Cl1-,[60.73362787],[0.33333333 0.66666667]
N5+,O0.333-,[60.68476411],[0.0624414 0.9375586]
N5+,O1-,[60.12657433],[0.16666667 0.83333333]
N3+,O0.333-,[59.73047839],[0.09990999 0.90009001]
N3+,O0.5-,[59.51458028],[0.14285714 0.85714286]
C2+,F1-,[58.57481469],[0.33333333 0.66666667]
N5+,F1-,[58.13660578],[0.16666667 0.83333333]
Ag1+,O0.5-,[57.77586601],[0.33333333 0.66666667]
C2+,O0.5-,[57.5223808],[0.2 0.8]
C4+,O1-,[57.5223808],[0.2 0.8]
P5+,F1-,[57.37581112],[0.16666667 0.83333333]
Cu2+,N1-,[57.31966887],[0.33333333 0.66666667]
H1+,O0.333-,[57.24936971],[0.24981245 0.75018755]
Cl7+,H1-,[57.05930831],[0.125 0.875]
P3+,F1-,[56.71867667],[0.25 0.75]
Br5+,F1-,[56.675879],[0.16666667 0.83333333]
N5+,N2-,[56.40930025],[0.28571429 0.71428571]
N5+,N3-,[56.39786643],[0.375 0.625]
C4+,O2-,[56.27352755],[0.33333333 0.66666667]
N5+,O2-,[56.1847541],[0.28571429 0.71428571]
Cl5+,H1-,[56.07272743],[0.16666667 0.83333333]
N5+,N1-,[56.05133241],[0.16666667 0.83333333]
Br7+,F1-,[55.94240796],[0.125 0.875]
N3+,O1-,[55.79857842],[0.25 0.75]
Br3+,F1-,[55.78061331],[0.25 0.75]
Cu2+,O1-,[55.77623249],[0.33333333 0.66666667]
N3+,N3-,[55.75584962],[0.5 0.5]
H1+,O0.5-,[55.6783263],[0.33333333 0.66666667]
N3+,O2-,[55.67603576],[0.4 0.6]
C2+,O1-,[55.592287],[0.33333333 0.66666667]
B3+,F1-,[55.43282435],[0.25 0.75]
S4+,F1-,[55.41460394],[0.2 0.8]
S6+,F1-,[55.32404899],[0.14285714 0.85714286]
H1+,F1-,[55.12985459],[0.5 0.5]
N3+,N2-,[55.11518588],[0.4 0.6]
Cl5+,F1-,[55.10761743],[0.16666667 0.83333333]
Cu2+,F1-,[55.0427799],[0.33333333 0.66666667]
Cl3+,F1-,[54.92486838],[0.25 0.75]
N3+,N1-,[54.85655624],[0.25 0.75]
Cl3+,H1-,[54.66955988],[0.25 0.75]
C4+,F1-,[54.65027511],[0.2 0.8]
Cl7+,F1-,[54.64618188],[0.125 0.875]
Cl3+,O0.5-,[54.51269509],[0.14285714 0.85714286]
Cl7+,O2-,[54.01025495],[0.22222222 0.77777778]
Br3+,O0.5-,[53.95771718],[0.14285714 0.85714286]
Cl3+,O1-,[53.89929924],[0.25 0.75]
Cl5+,O1-,[53.88715008],[0.16666667 0.83333333]
N5+,H1-,[53.88155557],[0.16666667 0.83333333]
Cl5+,O2-,[53.57206234],[0.28571429 0.71428571]
Br5+,O1-,[53.36339345],[0.16666667 0.83333333]
H1+,O1-,[53.25223995],[0.5 0.5]
Cl7+,O1-,[53.25160145],[0.125 0.875]
Br1+,O0.333-,[53.22711454],[0.24981245 0.75018755]
C2+,O2-,[53.22640317],[0.5 0.5]
H1+,N2-,[53.06606537],[0.66666667 0.33333333]
N3+,H1-,[53.01193372],[0.25 0.75]
H1+,N3-,[53.01193372],[0.75 0.25]
H1+,N1-,[52.96441046],[0.5 0.5]
S2+,O1-,[52.84796555],[0.33333333 0.66666667]
Br7+,O2-,[52.82378487],[0.22222222 0.77777778]
Br3+,O1-,[52.7902558],[0.25 0.75]
Br1+,O0.5-,[52.75893501],[0.33333333 0.66666667]
H1+,H1-,[52.38093651],[0.5 0.5]
Br5+,O2-,[52.33785434],[0.28571429 0.71428571]
S4+,O2-,[52.17593994],[0.33333333 0.66666667]
N5+,C2-,[51.91401136],[0.28571429 0.71428571]
H1+,O2-,[51.82666975],[0.66666667 0.33333333]
N5+,C1-,[51.73872387],[0.16666667 0.83333333]
N3+,C1-,[51.56858404],[0.25 0.75]
N5+,C3-,[51.17528991],[0.375 0.625]
N5+,C4-,[50.79923949],[0.44444444 0.55555556]
N3+,C4-,[50.69214484],[0.57142857 0.42857143]
C4+,N3-,[50.69214484],[0.42857143 0.57142857]
N3+,C3-,[50.65978571],[0.5 0.5]
C4+,N2-,[50.611697],[0.33333333 0.66666667]
B3+,O2-,[50.53734353],[0.4 0.6]
B3+,O0.333-,[50.38320699],[0.09990999 0.90009001]
S2+,F1-,[50.26058916],[0.33333333 0.66666667]
N3+,C2-,[49.99509259],[0.4 0.6]
C2+,N3-,[49.99509259],[0.6 0.4]
C2+,N1-,[49.93177979],[0.33333333 0.66666667]
C2+,N2-,[49.91152116],[0.5 0.5]
B3+,O0.5-,[49.62275006],[0.14285714 0.85714286]
H1+,C1-,[49.48645484],[0.5 0.5]
H1+,Cl1-,[49.44666495],[0.5 0.5]
N3+,F1-,[49.41773672],[0.25 0.75]
Br7+,O1-,[49.19765054],[0.125 0.875]
N5+,Cl1-,[49.17666589],[0.16666667 0.83333333]
Cl7+,N2-,[49.09715273],[0.22222222 0.77777778]
Kr2+,O0.333-,[49.08973065],[0.14273468 0.85726532]
Cl7+,N1-,[49.0872797],[0.125 0.875]
Kr2+,O0.5-,[48.96672435],[0.2 0.8]
Cl7+,N3-,[48.84918312],[0.3 0.7]
Cl5+,N1-,[48.81380991],[0.16666667 0.83333333]
Kr2+,O1-,[48.74171067],[0.33333333 0.66666667]
Kr2+,H1-,[48.50993898],[0.33333333 0.66666667]
H1+,S1-,[48.48519742],[0.5 0.5]
Cl5+,N3-,[48.34095651],[0.375 0.625]
C4+,N1-,[48.32559127],[0.2 0.8]
Br1+,O2-,[48.25490842],[0.66666667 0.33333333]
Cu2+,O0.5-,[48.20621182],[0.2 0.8]
S6+,H1-,[48.07334978],[0.14285714 0.85714286]
Cl7+,O0.333-,[48.07008028],[0.04541116 0.95458884]
Cl3+,O2-,[48.04998973],[0.4 0.6]
C4+,H1-,[47.86494725],[0.2 0.8]
H1+,C4-,[47.86494725],[0.8 0.2]
Cl5+,O0.333-,[47.82949949],[0.0624414 0.9375586]
H1+,C3-,[47.82375678],[0.75 0.25]
B3+,O1-,[47.75164346],[0.25 0.75]
Cl5+,O0.5-,[47.71011713],[0.09090909 0.90909091]
Cl7+,O0.5-,[47.64052882],[0.06666667 0.93333333]
Ag1+,O0.333-,[47.62713725],[0.24981245 0.75018755]
Cl3+,N2-,[47.62161422],[0.4 0.6]
Br1+,O1-,[47.58606449],[0.5 0.5]
Cl3+,N1-,[47.58270432],[0.25 0.75]
H1+,S2-,[47.52138402],[0.66666667 0.33333333]
S2+,H1-,[47.52138402],[0.33333333 0.66666667]
Cl5+,N2-,[47.48186526],[0.28571429 0.71428571]
Cl3+,O0.333-,[47.37862013],[0.09990999 0.90009001]
C2+,H1-,[47.3441466],[0.33333333 0.66666667]
H1+,C2-,[47.3441466],[0.66666667 0.33333333]
H1+,B3-,[47.07785848],[0.75 0.25]
B3+,H1-,[47.07785848],[0.25 0.75]
S4+,H1-,[46.94120867],[0.2 0.8]
Br7+,O0.333-,[46.89635246],[0.04541116 0.95458884]
S6+,O0.333-,[46.8544353],[0.05258171 0.94741829]
Br1+,F1-,[46.233037],[0.5 0.5]
S4+,O0.333-,[46.2182888],[0.07685207 0.92314793]
H1+,B1-,[46.20450589],[0.5 0.5]
S6+,O0.5-,[46.01592025],[0.07692308 0.92307692]
Br3+,O0.333-,[45.86343196],[0.09990999 0.90009001]
S4+,O0.5-,[45.83205702],[0.11111111 0.88888889]
Br3+,O2-,[45.77905283],[0.4 0.6]
Br5+,O0.5-,[45.54073626],[0.09090909 0.90909091]
Br5+,O0.333-,[45.49466889],[0.0624414 0.9375586]
S2+,O0.333-,[45.44211884],[0.14273468 0.85726532]
Br7+,O0.5-,[45.36708758],[0.06666667 0.93333333]
Cu2+,O0.333-,[45.17497409],[0.14273468 0.85726532]
S2+,O0.5-,[45.08266576],[0.2 0.8]
S6+,O1-,[44.59523589],[0.14285714 0.85714286]
S4+,O1-,[44.58264595],[0.2 0.8]
C4+,C4-,[44.50565661],[0.5 0.5]
S6+,O2-,[44.42343089],[0.25 0.75]
Kr2+,F1-,[43.97315677],[0.33333333 0.66666667]
I7+,F1-,[43.8977136],[0.125 0.875]
Se6+,F1-,[43.74010992],[0.14285714 0.85714286]
C4+,C3-,[43.62257373],[0.42857143 0.57142857]
C2+,C4-,[43.53414005],[0.66666667 0.33333333]
C4+,C2-,[43.53414005],[0.33333333 0.66666667]
C2+,C3-,[43.48460081],[0.6 0.4]
I5+,F1-,[43.3427946],[0.16666667 0.83333333]
As5+,F1-,[43.26797996],[0.16666667 0.83333333]
S2+,O2-,[43.21173793],[0.5 0.5]
C2+,C2-,[43.19670668],[0.5 0.5]
C4+,C1-,[43.16945977],[0.2 0.8]
Be2+,F1-,[43.1300608],[0.33333333 0.66666667]
C2+,C1-,[43.02511265],[0.33333333 0.66666667]
Se4+,F1-,[42.99120589],[0.2 0.8]
As3+,F1-,[42.7523405],[0.25 0.75]
I3+,F1-,[42.06011425],[0.25 0.75]
Si4+,F1-,[41.95352291],[0.2 0.8]
N3+,Cl1-,[41.17566626],[0.25 0.75]
Kr2+,O2-,[40.68146316],[0.5 0.5]
Cl3+,N3-,[40.66174799],[0.5 0.5]
Ag1+,Br1-,[38.27514915],[0.5 0.5]
Xe4+,F1-,[38.04392588],[0.2 0.8]
Xe6+,F1-,[37.56827221],[0.14285714 0.85714286]
P3+,O0.5-,[37.21405116],[0.14285714 0.85714286]
Se2+,F1-,[37.16651724],[0.33333333 0.66666667]
P3+,O0.333-,[37.03010209],[0.09990999 0.90009001]
P5+,O0.333-,[36.97179253],[0.0624414 0.9375586]
P5+,O0.5-,[36.85951154],[0.09090909 0.90909091]
P3+,O1-,[36.2581656],[0.25 0.75]
P5+,O1-,[36.22776364],[0.16666667 0.83333333]
P5+,O2-,[35.66924231],[0.28571429 0.71428571]
Mg2+,B1-,[34.10355963],[0.33333333 0.66666667]
Br5+,H1-,[33.59499108],[0.16666667 0.83333333]
I1+,F1-,[33.34967718],[0.5 0.5]
Cl5+,C1-,[32.80464202],[0.16666667 0.83333333]
N5+,B1-,[32.0099687],[0.16666667 0.83333333]
Ag1+,B1-,[31.11696376],[0.5 0.5]
N3+,B1-,[31.0574265],[0.25 0.75]
Xe2+,F1-,[30.91095551],[0.33333333 0.66666667]
B3+,N3-,[30.76824755],[0.5 0.5]
N3+,B3-,[30.76824755],[0.5 0.5]
B3+,N2-,[30.5980888],[0.4 0.6]
N5+,B3-,[30.41112947],[0.375 0.625]
Br7+,H1-,[30.35840635],[0.125 0.875]
Cl7+,C1-,[30.35801205],[0.125 0.875]
V5+,Cl1-,[29.82668215],[0.16666667 0.83333333]
La3+,Br1-,[29.75403948],[0.25 0.75]
Ce3+,Br1-,[29.66544907],[0.25 0.75]
Ga3+,Br1-,[29.62224983],[0.25 0.75]
Ce4+,Br1-,[29.59905851],[0.2 0.8]
Ti4+,Cl1-,[29.5856977],[0.2 0.8]
Sb5+,Cl1-,[29.47737628],[0.16666667 0.83333333]
Te6+,F1-,[29.40205628],[0.14285714 0.85714286]
V5+,Br1-,[29.30067395],[0.16666667 0.83333333]
Ag1+,I1-,[29.25021967],[0.5 0.5]
Sc3+,Br1-,[29.23258116],[0.25 0.75]
Cl5+,C4-,[29.19859648],[0.44444444 0.55555556]
Sb5+,F1-,[29.18680449],[0.16666667 0.83333333]
As5+,Cl1-,[29.18618855],[0.16666667 0.83333333]
S2+,Cl1-,[29.15742806],[0.33333333 0.66666667]
Zr4+,Br1-,[29.15470206],[0.2 0.8]
B3+,Cl1-,[29.12209176],[0.25 0.75]
Ag1+,At1-,[29.0709583],[0.5 0.5]
Te4+,F1-,[29.0603377],[0.2 0.8]
Cr6+,Cl1-,[29.02948827],[0.14285714 0.85714286]
P3+,Cl1-,[29.0025146],[0.25 0.75]
Sb3+,Cl1-,[28.94958764],[0.25 0.75]
In3+,Br1-,[28.87893929],[0.25 0.75]
Sn2+,Br1-,[28.86423988],[0.33333333 0.66666667]
Po2+,Cl1-,[28.8205541],[0.33333333 0.66666667]
Cl3+,Cl1-,[28.76803466],[0.25 0.75]
Br1+,Sb3-,[28.72589002],[0.75 0.25]
Sb3+,Br1-,[28.72589002],[0.25 0.75]
Y3+,Br1-,[28.72520958],[0.25 0.75]
Cl7+,C3-,[28.70077473],[0.3 0.7]
Cl7+,Cl1-,[28.67162675],[0.125 0.875]
Zr4+,Cl1-,[28.66923571],[0.2 0.8]
Sc3+,Cl1-,[28.62904149],[0.25 0.75]
Cl7+,C4-,[28.60617771],[0.36363636 0.63636364]
Sn2+,Cl1-,[28.60266865],[0.33333333 0.66666667]
Cl5+,Cl1-,[28.60137899],[0.16666667 0.83333333]
Ga3+,Cl1-,[28.59203556],[0.25 0.75]
S6+,N1-,[28.58995298],[0.14285714 0.85714286]
Br1+,P2-,[28.5851414],[0.66666667 0.33333333]
Br5+,Cl1-,[28.56497497],[0.16666667 0.83333333]
Ga3+,I1-,[28.5474634],[0.25 0.75]
Al3+,Cl1-,[28.51872156],[0.25 0.75]
P5+,Br1-,[28.47049759],[0.16666667 0.83333333]
Br1+,As3-,[28.46943387],[0.75 0.25]
As3+,Br1-,[28.46943387],[0.25 0.75]
P5+,Cl1-,[28.46100199],[0.16666667 0.83333333]
As3+,Cl1-,[28.45959792],[0.25 0.75]
Cr6+,Br1-,[28.44968582],[0.14285714 0.85714286]
Lu3+,Cl1-,[28.42558222],[0.25 0.75]
Cr3+,Cl1-,[28.40936339],[0.25 0.75]
Ge2+,Br1-,[28.40849288],[0.33333333 0.66666667]
P3+,Br1-,[28.31307444],[0.25 0.75]
Br1+,P3-,[28.31307444],[0.75 0.25]
Si4+,Cl1-,[28.17979355],[0.2 0.8]
Sn4+,Cl1-,[28.16361228],[0.2 0.8]
Bi3+,Cl1-,[28.15754383],[0.25 0.75]
Br7+,Cl1-,[28.14771488],[0.125 0.875]
Ac3+,Cl1-,[28.12882082],[0.25 0.75]
Al3+,F1-,[28.1150356],[0.25 0.75]
As5+,Br1-,[28.11407648],[0.16666667 0.83333333]
Nb5+,Cl1-,[28.09112846],[0.16666667 0.83333333]
Br3+,Cl1-,[28.08511905],[0.25 0.75]
Po4+,F1-,[28.08207714],[0.2 0.8]
Ge4+,Cl1-,[28.04148006],[0.2 0.8]
Br7+,C4-,[28.027117],[0.36363636 0.63636364]
Cl5+,C3-,[27.99660151],[0.375 0.625]
S4+,Cl1-,[27.98686743],[0.2 0.8]
V5+,I1-,[27.91655633],[0.16666667 0.83333333]
Br1+,Sn4-,[27.89332719],[0.8 0.2]
Sn4+,Br1-,[27.89332719],[0.2 0.8]
Co2+,Cl1-,[27.88215637],[0.33333333 0.66666667]
Ge2+,Cl1-,[27.86799616],[0.33333333 0.66666667]
S6+,Cl1-,[27.86232522],[0.14285714 0.85714286]
Kr2+,N1-,[27.85521053],[0.33333333 0.66666667]
Br1+,Se2-,[27.83799147],[0.66666667 0.33333333]
Se2+,Br1-,[27.83799147],[0.33333333 0.66666667]
Cr3+,Br1-,[27.8290191],[0.25 0.75]
Sb5+,Br1-,[27.82126827],[0.16666667 0.83333333]
Al3+,Br1-,[27.79644413],[0.25 0.75]
Mo6+,Cl1-,[27.79429314],[0.14285714 0.85714286]
Y3+,Cl1-,[27.75809402],[0.25 0.75]
Ce3+,Cl1-,[27.71325904],[0.25 0.75]
Li1+,F1-,[27.69706542],[0.5 0.5]
Mo4+,Cl1-,[27.67243594],[0.2 0.8]
Cr6+,F1-,[27.62457354],[0.14285714 0.85714286]
Po4+,Cl1-,[27.61178626],[0.2 0.8]
S2+,S1-,[27.59339258],[0.33333333 0.66666667]
Br3+,Ge4-,[27.56167613],[0.57142857 0.42857143]
I7+,Cl1-,[27.54732436],[0.125 0.875]
I5+,Cl1-,[27.52964979],[0.16666667 0.83333333]
Er3+,Cl1-,[27.50714441],[0.25 0.75]
Co3+,Cl1-,[27.47322186],[0.25 0.75]
Se6+,Cl1-,[27.46116162],[0.14285714 0.85714286]
Fe3+,Cl1-,[27.42857585],[0.25 0.75]
Se2+,Cl1-,[27.42810111],[0.33333333 0.66666667]
Br7+,C3-,[27.42540682],[0.3 0.7]
La3+,Cl1-,[27.4124187],[0.25 0.75]
Ni2+,Cl1-,[27.40865337],[0.33333333 0.66666667]
Br1+,Si2-,[27.3838908],[0.66666667 0.33333333]
At1+,O0.333-,[27.36976571],[0.24981245 0.75018755]
Cl3+,C2-,[27.36691731],[0.4 0.6]
V5+,F1-,[27.36396554],[0.16666667 0.83333333]
Te2+,Cl1-,[27.36119756],[0.33333333 0.66666667]
Al3+,I1-,[27.34307263],[0.25 0.75]
Sn4+,F1-,[27.30614115],[0.2 0.8]
Te6+,Cl1-,[27.29853244],[0.14285714 0.85714286]
Se4+,Br1-,[27.27656606],[0.2 0.8]
B3+,N1-,[27.21224808],[0.25 0.75]
Y3+,I1-,[27.19728901],[0.25 0.75]
V5+,S1-,[27.1923828],[0.16666667 0.83333333]
Cl3+,C1-,[27.16060062],[0.25 0.75]
In3+,Cl1-,[27.13063239],[0.25 0.75]
I3+,Br1-,[27.12854734],[0.25 0.75]
Ce4+,Cl1-,[27.11834319],[0.2 0.8]
Te2+,Br1-,[27.1047155],[0.33333333 0.66666667]
Br1+,Te2-,[27.1047155],[0.66666667 0.33333333]
Ge4+,F1-,[27.07536246],[0.2 0.8]
Br5+,C3-,[27.06026169],[0.375 0.625]
I5+,Br1-,[27.05278887],[0.16666667 0.83333333]
