material1,material2,pred_temp,weights
C1+,F1-,[65.78293714],[0.5 0.5]
Cl2+,H1-,[64.12388599],[0.33333333 0.66666667]
C3+,O0.333-,[62.73156274],[0.09990999 0.90009001]
O0.333+,C3-,[62.73156274],[0.90009001 0.09990999]
C4+,O0.5-,[62.6259605],[0.11111111 0.88888889]
O0.5+,C4-,[62.6259605],[0.88888889 0.11111111]
Ag2+,N1-,[62.44032222],[0.33333333 0.66666667]
O0.333+,C4-,[62.39642268],[0.92314793 0.07685207]
C4+,O0.333-,[62.39642268],[0.07685207 0.92314793]
O0.333+,C2-,[62.25717298],[0.85726532 0.14273468]
C3+,O0.5-,[62.25717298],[0.14285714 0.85714286]
C2+,O0.333-,[62.25717298],[0.14273468 0.85726532]
O0.5+,C3-,[62.25717298],[0.85714286 0.14285714]
Ag2+,F1-,[61.36930681],[0.33333333 0.66666667]
H1+,F1-,[61.27800651],[0.5 0.5]
N4+,O0.333-,[61.0275344],[0.07685207 0.92314793]
N5+,O0.5-,[61.0007837],[0.09090909 0.90909091]
N5+,O0.333-,[60.91725429],[0.0624414 0.9375586]
N3+,O0.333-,[60.43929911],[0.09990999 0.90009001]
O0.333+,N3-,[60.43929911],[0.90009001 0.09990999]
N4+,O0.5-,[60.41254841],[0.11111111 0.88888889]
Ag1+,O0.5-,[60.1269908],[0.33333333 0.66666667]
N3+,O0.5-,[60.05605861],[0.14285714 0.85714286]
O0.5+,N3-,[60.05605861],[0.85714286 0.14285714]
N2+,O0.333-,[60.05605861],[0.14273468 0.85726532]
O0.333+,N2-,[60.05605861],[0.85726532 0.14273468]
Cu1+,O0.5-,[59.94813489],[0.33333333 0.66666667]
Cl6+,H1-,[59.88233366],[0.14285714 0.85714286]
O0.333+,H1-,[59.84573158],[0.75018755 0.24981245]
H1+,O0.333-,[59.84573158],[0.24981245 0.75018755]
O0.333+,O0.5-,[59.68076542],[0.6002401 0.3997599]
O0.5+,O0.333-,[59.68076542],[0.3997599 0.6002401]
O0.5+,O1-,[59.68076542],[0.66666667 0.33333333]
O1+,O0.5-,[59.68076542],[0.33333333 0.66666667]
O0.5+,O0.5-,[59.67248211],[0.5 0.5]
O1+,O1-,[59.67248211],[0.5 0.5]
O0.333+,O0.333-,[59.67248211],[0.5 0.5]
Cl3+,H1-,[59.65615019],[0.25 0.75]
O1+,O0.333-,[59.63950492],[0.24981245 0.75018755]
O0.333+,O1-,[59.63950492],[0.75018755 0.24981245]
B1+,F1-,[59.56489122],[0.5 0.5]
Cl7+,H1-,[59.55133459],[0.125 0.875]
C2+,F1-,[59.39762455],[0.33333333 0.66666667]
O2+,O2-,[59.35060663],[0.5 0.5]
O2+,O1-,[59.32764917],[0.33333333 0.66666667]
O1+,O2-,[59.32764917],[0.66666667 0.33333333]
Cl5+,H1-,[59.21675943],[0.16666667 0.83333333]
N5+,F1-,[59.21532327],[0.16666667 0.83333333]
O2+,O0.333-,[59.18085646],[0.14273468 0.85726532]
O0.333+,O2-,[59.18085646],[0.85726532 0.14273468]
O0.5+,O2-,[59.12672481],[0.8 0.2]
O2+,O0.5-,[59.12672481],[0.2 0.8]
O0.5+,H1-,[58.9156563],[0.66666667 0.33333333]
H1+,O0.5-,[58.9156563],[0.33333333 0.66666667]
O1+,C4-,[58.71277522],[0.8 0.2]
O0.5+,C2-,[58.71277522],[0.8 0.2]
C2+,O0.5-,[58.71277522],[0.2 0.8]
C4+,O1-,[58.71277522],[0.2 0.8]
Cl4+,H1-,[58.55541489],[0.2 0.8]
N5+,O1-,[58.4729553],[0.16666667 0.83333333]
Cu2+,O1-,[58.47012261],[0.33333333 0.66666667]
N2+,O0.5-,[58.45569439],[0.2 0.8]
O0.5+,N2-,[58.45569439],[0.8 0.2]
N4+,O1-,[58.42894369],[0.2 0.8]
Ag2+,O1-,[58.19682165],[0.33333333 0.66666667]
Cu2+,F1-,[58.13839008],[0.33333333 0.66666667]
C1+,O0.333-,[58.127226],[0.24981245 0.75018755]
O0.333+,C1-,[58.127226],[0.75018755 0.24981245]
N5+,N3-,[57.98361704],[0.375 0.625]
C3+,O1-,[57.77410975],[0.25 0.75]
O1+,C3-,[57.77410975],[0.75 0.25]
N3+,N3-,[57.67734953],[0.5 0.5]
C1+,O0.5-,[57.65511328],[0.33333333 0.66666667]
O0.5+,C1-,[57.65511328],[0.66666667 0.33333333]
C4+,O2-,[57.65305501],[0.33333333 0.66666667]
O2+,C4-,[57.65305501],[0.66666667 0.33333333]
N4+,O2-,[57.50696873],[0.33333333 0.66666667]
N5+,O2-,[57.46853736],[0.28571429 0.71428571]
O0.5+,N1-,[57.45057284],[0.66666667 0.33333333]
N1+,O0.5-,[57.45057284],[0.33333333 0.66666667]
C1+,O2-,[57.44443921],[0.66666667 0.33333333]
O2+,C1-,[57.44443921],[0.33333333 0.66666667]
O2+,F1-,[57.37197825],[0.33333333 0.66666667]
C3+,O2-,[57.37124073],[0.4 0.6]
O2+,C3-,[57.37124073],[0.6 0.4]
