material1,material2,pred_temp,weights
C1+,F1-,[63.65123087],[0.5 0.5]
C4+,O0.5-,[62.24535855],[0.11111111 0.88888889]
O0.5+,C4-,[62.24535855],[0.88888889 0.11111111]
C3+,O0.333-,[61.48719329],[0.09990999 0.90009001]
O0.333+,C3-,[61.48719329],[0.90009001 0.09990999]
C4+,O0.333-,[61.41505043],[0.07685207 0.92314793]
O0.333+,C4-,[61.41505043],[0.92314793 0.07685207]
N5+,O0.5-,[61.17977811],[0.09090909 0.90909091]
O0.333+,C2-,[61.05923951],[0.85726532 0.14273468]
O0.5+,C3-,[61.05923951],[0.85714286 0.14285714]
C2+,O0.333-,[61.05923951],[0.14273468 0.85726532]
C3+,O0.5-,[61.05923951],[0.14285714 0.85714286]
Cl2+,H1-,[60.82589913],[0.33333333 0.66666667]
N4+,O0.333-,[60.76829352],[0.07685207 0.92314793]
Cu2+,Cl1-,[60.73362787],[0.33333333 0.66666667]
Ag2+,N1-,[60.69619548],[0.33333333 0.66666667]
N5+,O0.333-,[60.68476411],[0.0624414 0.9375586]
N4+,O0.5-,[60.59154282],[0.11111111 0.88888889]
N5+,O1-,[60.12657433],[0.16666667 0.83333333]
O0.333+,N3-,[59.73047839],[0.90009001 0.09990999]
N3+,O0.333-,[59.73047839],[0.09990999 0.90009001]
O0.333+,N2-,[59.51458028],[0.85726532 0.14273468]
O0.5+,N3-,[59.51458028],[0.85714286 0.14285714]
N2+,O0.333-,[59.51458028],[0.14273468 0.85726532]
N3+,O0.5-,[59.51458028],[0.14285714 0.85714286]
C2+,F1-,[58.57481469],[0.33333333 0.66666667]
N5+,F1-,[58.13660578],[0.16666667 0.83333333]
Ag1+,O0.5-,[57.77586601],[0.33333333 0.66666667]
B1+,F1-,[57.54329651],[0.5 0.5]
O0.5+,C2-,[57.5223808],[0.8 0.2]
C2+,O0.5-,[57.5223808],[0.2 0.8]
C4+,O1-,[57.5223808],[0.2 0.8]
O1+,C4-,[57.5223808],[0.8 0.2]
Cu1+,O0.5-,[57.40787115],[0.33333333 0.66666667]
P5+,F1-,[57.37581112],[0.16666667 0.83333333]
P4+,F1-,[57.34564305],[0.2 0.8]
Cu2+,N1-,[57.31966887],[0.33333333 0.66666667]
