material1,material2,pred_temp,weights
C1+,F1-,[65.7590833],[0.5 0.5]
Ag2+,N1-,[64.95485902],[0.33333333 0.66666667]
C2+,F1-,[63.84499456],[0.33333333 0.66666667]
C4+,O0.5-,[62.06600093],[0.11111111 0.88888889]
O0.5+,C4-,[62.06600093],[0.88888889 0.11111111]
N5+,F1-,[62.05480301],[0.16666667 0.83333333]
Ag2+,F1-,[61.83536722],[0.33333333 0.66666667]
O2+,F1-,[61.41800772],[0.33333333 0.66666667]
Cu2+,F1-,[61.41695093],[0.33333333 0.66666667]
Ag1+,O0.5-,[61.39138655],[0.33333333 0.66666667]
C4+,O0.333-,[61.21978245],[0.07685207 0.92314793]
O0.333+,C4-,[61.21978245],[0.92314793 0.07685207]
Ag2+,O1-,[60.83827731],[0.33333333 0.66666667]
B3+,F1-,[60.36059806],[0.25 0.75]
P5+,F1-,[60.32110884],[0.16666667 0.83333333]
C4+,F1-,[60.23336852],[0.2 0.8]
Cu2+,N1-,[60.18368948],[0.33333333 0.66666667]
Br5+,F1-,[60.14023463],[0.16666667 0.83333333]
C3+,O0.333-,[60.12904015],[0.09990999 0.90009001]
O0.333+,C3-,[60.12904015],[0.90009001 0.09990999]
N5+,O0.5-,[59.95986565],[0.09090909 0.90909091]
N4+,O0.333-,[59.95986565],[0.07685207 0.92314793]
Br7+,F1-,[59.92559592],[0.125 0.875]
S6+,F1-,[59.71150952],[0.14285714 0.85714286]
C3+,F1-,[59.67279653],[0.25 0.75]
N5+,O0.333-,[59.66574801],[0.0624414 0.9375586]
Cl6+,F1-,[59.65466807],[0.14285714 0.85714286]
Cu1+,O0.5-,[59.55918367],[0.33333333 0.66666667]
Cl7+,F1-,[59.51140891],[0.125 0.875]
S5+,F1-,[59.48161137],[0.16666667 0.83333333]
Cl5+,F1-,[59.4724832],[0.16666667 0.83333333]
P3+,F1-,[59.45223615],[0.25 0.75]
N4+,O0.5-,[59.37163036],[0.11111111 0.88888889]
P4+,F1-,[59.360608],[0.2 0.8]
O0.333+,C2-,[58.91616667],[0.85726532 0.14273468]
C2+,O0.333-,[58.91616667],[0.14273468 0.85726532]
C3+,O0.5-,[58.89753922],[0.14285714 0.85714286]
O0.5+,C3-,[58.89753922],[0.85714286 0.14285714]
Cu2+,O1-,[58.86629852],[0.33333333 0.66666667]
Cl3+,F1-,[58.76604348],[0.25 0.75]
Cl6+,O1-,[58.75690403],[0.14285714 0.85714286]
Cl2+,F1-,[58.74080959],[0.33333333 0.66666667]
Cl5+,O1-,[58.73035025],[0.16666667 0.83333333]
Br4+,F1-,[58.65735075],[0.2 0.8]
S4+,F1-,[58.59339775],[0.2 0.8]
Br3+,F1-,[58.58498631],[0.25 0.75]
Cl4+,F1-,[58.44416323],[0.2 0.8]
N5+,O1-,[58.37821299],[0.16666667 0.83333333]
Cl7+,O2-,[58.27569307],[0.22222222 0.77777778]
Cl6+,O2-,[58.2140207],[0.25 0.75]
S3+,F1-,[58.15642862],[0.25 0.75]
Br5+,O1-,[58.03077465],[0.16666667 0.83333333]
Cl2+,H1-,[57.95930132],[0.33333333 0.66666667]
Cl2+,O0.333-,[57.8964347],[0.14273468 0.85726532]
Cl3+,O0.5-,[57.8964347],[0.14285714 0.85714286]
Cl2+,O0.5-,[57.64218344],[0.2 0.8]
Cl7+,O1-,[57.55330173],[0.125 0.875]
Br7+,O2-,[57.55182682],[0.22222222 0.77777778]
Cl4+,O1-,[57.54215193],[0.2 0.8]
N3+,O0.333-,[57.40937546],[0.09990999 0.90009001]
O0.333+,N3-,[57.40937546],[0.90009001 0.09990999]
O0.333+,Cl1-,[57.3205688],[0.75018755 0.24981245]
Cl1+,O0.333-,[57.3205688],[0.24981245 0.75018755]
O0.5+,Cl1-,[57.30632258],[0.66666667 0.33333333]
Cl1+,O0.5-,[57.30632258],[0.33333333 0.66666667]
Br3+,O0.5-,[57.30095742],[0.14285714 0.85714286]
Cl5+,O2-,[57.26605773],[0.28571429 0.71428571]
